ID	nbrefhom	nbalthom	nbhet	nbmissing
hg02461	974	134	235	9
hg02461	951	125	269	7
hg02461	907	182	259	4
hg02461	1007	132	213	0
hg02461	1114	100	135	3
hg02461	1059	59	233	1
hg02461	949	138	259	6
hg02461	932	130	289	1
hg02461	975	82	294	1
hg02461	960	74	316	2
hg02461	919	73	359	1
hg02461	974	113	263	2
hg02461	1076	43	232	1
hg02461	969	88	295	0
hg02461	928	87	336	1
hg02461	1004	52	296	0
hg02461	987	68	296	1
hg02461	962	69	320	1
hg02461	972	290	89	1
hg02461	974	53	324	1
hg02461	976	75	300	1
hg02461	1040	65	247	0
hg02461	886	153	311	2
hg02461	945	147	258	2
hg02461	1035	70	247	0
hg02461	948	102	301	1
hg02461	1017	90	245	0
hg02461	939	88	325	0
hg02461	980	168	199	5
hg02461	971	86	294	1
hg02461	952	139	261	0
hg02461	1006	175	171	0
hg02461	1086	80	184	2
hg02461	969	148	233	2
hg02461	1046	60	243	3
hg02461	1066	148	136	2
hg02461	961	107	283	1
hg02461	1046	130	174	2
hg02461	1010	84	257	1
hg02461	977	82	289	4
hg02461	965	167	220	0
hg02461	937	67	347	1
hg02461	961	119	264	8
hg02461	930	112	308	2
hg02461	995	75	279	3
hg02461	948	162	242	0
hg02461	1004	73	274	1
hg02461	1016	193	142	1
hg02461	986	114	250	2
hg02461	1053	89	209	1
hg02461	1014	75	260	3
hg02461	953	70	328	1
hg02461	970	146	234	2
hg02461	982	160	208	2
hg02461	1029	85	237	1
hg02461	980	77	295	0
hg02461	1019	92	238	3
hg02461	980	173	191	8
hg02461	1030	77	245	0
hg02461	1031	45	274	2
hg02461	1055	40	257	0
hg02461	872	167	305	8
hg02461	945	78	329	0
hg02461	938	152	262	0
hg02461	949	89	311	3
hg02461	935	83	332	2
hg02461	1012	58	279	3
hg02461	1028	88	236	0
hg02461	934	79	338	1
hg02461	952	111	282	7
hg02461	995	95	261	1
hg02461	1111	91	146	4
hg02461	974	168	205	5
hg02461	1015	63	271	3
hg02461	1025	181	146	0
hg02461	976	95	280	1
hg02461	1012	102	237	1
hg02461	1042	97	213	0
hg02461	1066	101	181	4
hg02461	1066	111	174	1
hg02461	984	204	162	2
hg02461	1060	137	151	4
hg02461	1019	131	201	1
hg02461	1040	48	264	0
hg02461	1080	79	192	1
hg02461	1081	70	201	0
hg02461	1037	59	255	1
hg02461	996	79	273	4
hg02461	972	153	222	5
hg02461	971	158	215	8
